Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20181206,00:45:00,1693.13999819756,1.13484,1.13506,1.1348,1.13495,EURUSD,
20181206,01:00:00,2773.03000092506,1.13497,1.13518,1.13456,1.13499,EURUSD,
20181206,01:15:00,2313.06999719143,1.13499,1.13518,1.13459,1.13465,EURUSD,
20181206,01:30:00,2049.95999181271,1.13465,1.13475,1.13441,1.13475,EURUSD,
20181206,01:45:00,2162.07999610901,1.13475,1.13504,1.1347,1.13477,EURUSD,
20181206,02:00:00,2412.26999235153,1.13476,1.13499,1.1347,1.13481,EURUSD,
20181206,02:15:00,2157.5399903059,1.13481,1.13512,1.13471,1.13471,EURUSD,
20181206,02:30:00,1554.29999399185,1.13471,1.13473,1.13426,1.13427,EURUSD,
20181206,02:45:00,1794.73999476433,1.13426,1.13447,1.1342,1.13428,EURUSD,
20181206,03:00:00,1609.11999595165,1.13429,1.13449,1.13409,1.13427,EURUSD,
20181206,03:15:00,1971.69999575615,1.13427,1.13461,1.13422,1.1343,EURUSD,
20181206,03:30:00,2006.58999836445,1.13431,1.13436,1.13419,1.13432,EURUSD,
20181206,03:45:00,2038.11999607086,1.13433,1.13436,1.13411,1.13426,EURUSD,
20181206,04:00:00,1728.249994874,1.13427,1.13435,1.1339,1.13426,EURUSD,
20181206,04:15:00,1929.56999480724,1.13425,1.13468,1.13415,1.1346,EURUSD,
20181206,04:30:00,1553.47999227047,1.1346,1.13461,1.13424,1.13439,EURUSD,
20181206,04:45:00,2005.66999697685,1.1344,1.13473,1.13421,1.13472,EURUSD,
20181206,05:00:00,2466.82999587059,1.13473,1.13516,1.13465,1.13502,EURUSD,
20181206,05:15:00,1893.79999959469,1.13501,1.13526,1.13486,1.13494,EURUSD,
20181206,05:30:00,1657.45999538898,1.13493,1.13496,1.13471,1.13491,EURUSD,
20181206,05:45:00,2058.19999814034,1.13489,1.13501,1.13439,1.13455,EURUSD,
20181206,06:00:00,2083.1299945116,1.13455,1.13455,1.13361,1.1338,EURUSD,
20181206,06:15:00,2073.65999209881,1.13378,1.13402,1.1336,1.13382,EURUSD,
20181206,06:30:00,2065.80999445915,1.13382,1.13382,1.13301,1.13325,EURUSD,
20181206,06:45:00,3019.73997080326,1.13327,1.1335,1.13278,1.13325,EURUSD,
20181206,07:00:00,3166.19999241829,1.13326,1.13352,1.13243,1.13315,EURUSD,
20181206,07:15:00,3929.01999759674,1.13315,1.13407,1.13277,1.13281,EURUSD,
20181206,07:30:00,2982.69999754429,1.13279,1.1333,1.13242,1.13281,EURUSD,
20181206,07:45:00,3184.38998651505,1.13281,1.13345,1.13244,1.13244,EURUSD,
20181206,08:00:00,3711.88999605179,1.13241,1.13313,1.13209,1.13292,EURUSD,
20181206,08:15:00,2931.58999145031,1.1329,1.13324,1.13216,1.13251,EURUSD,
20181206,08:30:00,3158.55999290943,1.13251,1.13343,1.13226,1.1332,EURUSD,
20181206,08:45:00,3389.74999475479,1.13321,1.13382,1.13282,1.1334,EURUSD,
20181206,09:00:00,3973.36999666691,1.13341,1.13359,1.13235,1.13346,EURUSD,
20181206,09:15:00,3589.33999800682,1.13345,1.13462,1.13343,1.13391,EURUSD,
20181206,09:30:00,2706.2100007534,1.1339,1.13461,1.13371,1.13393,EURUSD,
20181206,09:45:00,2800.08999729156,1.13392,1.1341,1.13327,1.13405,EURUSD,
20181206,10:00:00,3057.4900052622,1.13406,1.13431,1.13328,1.13373,EURUSD,
20181206,10:15:00,3327.83999133855,1.13373,1.13374,1.13256,1.13272,EURUSD,
20181206,10:30:00,3361.02999639511,1.13271,1.13292,1.13226,1.13264,EURUSD,
20181206,10:45:00,2901.95999550819,1.13264,1.13323,1.13262,1.13302,EURUSD,
20181206,11:00:00,2980.54999864101,1.13302,1.13374,1.1328,1.13374,EURUSD,
20181206,11:15:00,2516.62999653816,1.13374,1.1341,1.13328,1.1338,EURUSD,
20181206,11:30:00,2347.58999478817,1.13379,1.13421,1.13357,1.13414,EURUSD,
20181206,11:45:00,3163.75999259949,1.13417,1.13434,1.13369,1.13384,EURUSD,
20181206,12:00:00,3273.73999357224,1.13386,1.13449,1.1337,1.13423,EURUSD,
20181206,12:15:00,3041.12999308109,1.13423,1.13452,1.13394,1.1342,EURUSD,
